Epoch : 49, Mean Accuracy(U) = 0.2172441063013747, Mean Accuracy(V) = 0.18758032835530042, Loss : 7.711568106545342
Epoch : 50, Mean Accuracy(U) = 0.21938883463541667, Mean Accuracy(V) = 0.1863290107709751, Loss : 7.720081308152941
Epoch : 51, Mean Accuracy(U) = 0.21775001992984694, Mean Accuracy(V) = 0.18391827434098648, Loss : 7.708742841084798
Epoch : 52, Mean Accuracy(U) = 0.21745353577628962, Mean Accuracy(V) = 0.18448979038229874, Loss : 7.713818618986342
Epoch : 53, Mean Accuracy(U) = 0.21747327186082768, Mean Accuracy(V) = 0.1856159374557114, Loss : 7.705115037494235
Epoch : 54, Mean Accuracy(U) = 0.2180270171219529, Mean Accuracy(V) = 0.1876642274748441, Loss : 7.715727906756931
Epoch : 55, Mean Accuracy(U) = 0.2174111294908588, Mean Accuracy(V) = 0.18393131178252556, Loss : 7.71582923995124
Epoch : 56, Mean Accuracy(U) = 0.21730749428677723, Mean Accuracy(V) = 0.18408886829471374, Loss : 7.706279272503323
Epoch : 57, Mean Accuracy(U) = 0.2196722259867488, Mean Accuracy(V) = 0.1864996877657313, Loss : 7.716999790403578
Epoch : 58, Mean Accuracy(U) = 0.21463335171308107, Mean Accuracy(V) = 0.1828095658836451, Loss : 7.715143177244398
Epoch : 59, Mean Accuracy(U) = 0.2172127998334752, Mean Accuracy(V) = 0.18414968200821996, Loss : 7.711627340316772
Epoch : 60, Mean Accuracy(U) = 0.217216619720805, Mean Accuracy(V) = 0.18637847554386333, Loss : 7.704890039232042
Epoch : 61, Mean Accuracy(U) = 0.21733749977855724, Mean Accuracy(V) = 0.18471948186826811, Loss : 7.721963230768839
Epoch : 62, Mean Accuracy(U) = 0.219922816131661, Mean Accuracy(V) = 0.18410185037556692, Loss : 7.725856320063273
Epoch : 63, Mean Accuracy(U) = 0.2177938379127693, Mean Accuracy(V) = 0.18546527334892285, Loss : 7.704701603783501
Epoch : 64, Mean Accuracy(U) = 0.21802029079861115, Mean Accuracy(V) = 0.18634166068771257, Loss : 7.7122298028733995
