Epoch : 49, Mean Accuracy(U) = 0.12912304179584086, Mean Accuracy(V) = 0.11490859630688328, Loss : 7.732076789555925
Epoch : 50, Mean Accuracy(U) = 0.12768276809654533, Mean Accuracy(V) = 0.11443687448984476, Loss : 7.730645565504439
Epoch : 51, Mean Accuracy(U) = 0.1281068740688547, Mean Accuracy(V) = 0.11476668648319101, Loss : 7.725983850071939
Epoch : 52, Mean Accuracy(U) = 0.12592808401250885, Mean Accuracy(V) = 0.11380903087322618, Loss : 7.726521475931232
Epoch : 53, Mean Accuracy(U) = 0.1285744824285929, Mean Accuracy(V) = 0.11635546833267431, Loss : 7.721656949332591
Epoch : 54, Mean Accuracy(U) = 0.1281313245201202, Mean Accuracy(V) = 0.11582587056584318, Loss : 7.729309526722083
Epoch : 55, Mean Accuracy(U) = 0.12882457503418412, Mean Accuracy(V) = 0.11470496299399964, Loss : 7.724497762958655
Epoch : 56, Mean Accuracy(U) = 0.12964985060554166, Mean Accuracy(V) = 0.11525461529654636, Loss : 7.7287079082446155
Epoch : 57, Mean Accuracy(U) = 0.12803499480602543, Mean Accuracy(V) = 0.1140000031859255, Loss : 7.7259514251451815
Epoch : 58, Mean Accuracy(U) = 0.12811691278772266, Mean Accuracy(V) = 0.11504720823966239, Loss : 7.722266106123335
Epoch : 59, Mean Accuracy(U) = 0.12749381116162634, Mean Accuracy(V) = 0.1136848828385574, Loss : 7.723428908358799
Epoch : 60, Mean Accuracy(U) = 0.12816539636455157, Mean Accuracy(V) = 0.11367115434976344, Loss : 7.724830627441406
Epoch : 61, Mean Accuracy(U) = 0.1278787037859625, Mean Accuracy(V) = 0.11559016297362602, Loss : 7.730726134911012
Epoch : 62, Mean Accuracy(U) = 0.1280694559848008, Mean Accuracy(V) = 0.11421082900549615, Loss : 7.726580309064201
Epoch : 63, Mean Accuracy(U) = 0.12898486754611516, Mean Accuracy(V) = 0.11619347598190836, Loss : 7.7287667413775845
Epoch : 64, Mean Accuracy(U) = 0.1271792544584228, Mean Accuracy(V) = 0.11390783273317148, Loss : 7.728948475269789
Epoch : 65, Mean Accuracy(U) = 0.12782246914761983, Mean Accuracy(V) = 0.1143758571462771, Loss : 7.727419912145379
Epoch : 66, Mean Accuracy(U) = 0.12867247253915448, Mean Accuracy(V) = 0.11396249094912159, Loss : 7.725703909156028
Epoch : 67, Mean Accuracy(U) = 0.1293452995405102, Mean Accuracy(V) = 0.1142250906024278, Loss : 7.729799977849039
Epoch : 68, Mean Accuracy(U) = 0.1281429167593604, Mean Accuracy(V) = 0.11441919540256089, Loss : 7.72690035787861
Epoch : 69, Mean Accuracy(U) = 0.12837070915891896, Mean Accuracy(V) = 0.11453681127212606, Loss : 7.725123073277849
Epoch : 70, Mean Accuracy(U) = 0.1271680451918542, Mean Accuracy(V) = 0.11497206162194679, Loss : 7.7302652530455855
Epoch : 71, Mean Accuracy(U) = 0.12746792297242404, Mean Accuracy(V) = 0.11427567734811463, Loss : 7.7287819626626
Epoch : 72, Mean Accuracy(U) = 0.1273911286815863, Mean Accuracy(V) = 0.11362618877770886, Loss : 7.733100714308493
Epoch : 73, Mean Accuracy(U) = 0.12804056635861383, Mean Accuracy(V) = 0.11443567976778939, Loss : 7.724541369448887
Epoch : 74, Mean Accuracy(U) = 0.12874489381646265, Mean Accuracy(V) = 0.1147153223411508, Loss : 7.723812285433994
Epoch : 75, Mean Accuracy(U) = 0.1271050188321786, Mean Accuracy(V) = 0.11484967704283573, Loss : 7.732819407173757
Epoch : 76, Mean Accuracy(U) = 0.12695009175465383, Mean Accuracy(V) = 0.11485584277561577, Loss : 7.728498533870397
Epoch : 77, Mean Accuracy(U) = 0.12684039107774747, Mean Accuracy(V) = 0.11329686408845968, Loss : 7.733313287242075
Epoch : 78, Mean Accuracy(U) = 0.1288793592112455, Mean Accuracy(V) = 0.11555370677442166, Loss : 7.725536024972294
Epoch : 79, Mean Accuracy(U) = 0.12856235199187724, Mean Accuracy(V) = 0.1155664275743255, Loss : 7.732532554797912
Epoch : 80, Mean Accuracy(U) = 0.1290237971635044, Mean Accuracy(V) = 0.11495814991699091, Loss : 7.7300598165962136
Epoch : 81, Mean Accuracy(U) = 0.12751125868403898, Mean Accuracy(V) = 0.11433706494100926, Loss : 7.722301177764207
Epoch : 82, Mean Accuracy(U) = 0.12899442150555485, Mean Accuracy(V) = 0.11407610532681853, Loss : 7.7301075431738
Epoch : 83, Mean Accuracy(U) = 0.1289418562797869, Mean Accuracy(V) = 0.11437883313657272, Loss : 7.728727871112609
Epoch : 84, Mean Accuracy(U) = 0.127998301952612, Mean Accuracy(V) = 0.11499137311433925, Loss : 7.726841187209226
Epoch : 85, Mean Accuracy(U) = 0.12893378713465883, Mean Accuracy(V) = 0.11370963356075484, Loss : 7.724091829878561
Epoch : 86, Mean Accuracy(U) = 0.12888368642073464, Mean Accuracy(V) = 0.11465029841637717, Loss : 7.726853193861715
Epoch : 87, Mean Accuracy(U) = 0.12918031211443184, Mean Accuracy(V) = 0.11534279443610787, Loss : 7.729171174295833
Epoch : 88, Mean Accuracy(U) = 0.1278529580982195, Mean Accuracy(V) = 0.11461640215410088, Loss : 7.720426152261456
Epoch : 89, Mean Accuracy(U) = 0.1284900821223695, Mean Accuracy(V) = 0.11471102057835071, Loss : 7.73566131377488
Epoch : 90, Mean Accuracy(U) = 0.12747421975565326, Mean Accuracy(V) = 0.11414373372022607, Loss : 7.726335943414924
Epoch : 91, Mean Accuracy(U) = 0.127931101063582, Mean Accuracy(V) = 0.11464473704246446, Loss : 7.727911975946319
Epoch : 92, Mean Accuracy(U) = 0.12828304404247814, Mean Accuracy(V) = 0.11413217201701291, Loss : 7.7280248309789075
Epoch : 93, Mean Accuracy(U) = 0.12724567540643045, Mean Accuracy(V) = 0.11358956590269058, Loss : 7.72327660442738
Epoch : 94, Mean Accuracy(U) = 0.12708890217160826, Mean Accuracy(V) = 0.11495911561884392, Loss : 7.726536300744903
Epoch : 95, Mean Accuracy(U) = 0.12938947753753569, Mean Accuracy(V) = 0.1154213432761623, Loss : 7.725161889965615
Epoch : 96, Mean Accuracy(U) = 0.12667427254633662, Mean Accuracy(V) = 0.11568221764394442, Loss : 7.725117758418737
Epoch : 97, Mean Accuracy(U) = 0.1281728115297687, Mean Accuracy(V) = 0.11376137940313222, Loss : 7.731576994563756
Epoch : 98, Mean Accuracy(U) = 0.12767957580939202, Mean Accuracy(V) = 0.1135753043057589, Loss : 7.718760206458274
Epoch : 99, Mean Accuracy(U) = 0.128485957214059, Mean Accuracy(V) = 0.11405968203364404, Loss : 7.720713620775201
Epoch : 100, Mean Accuracy(U) = 0.12903800277771985, Mean Accuracy(V) = 0.11397114409576554, Loss : 7.724766897351555
Epoch : 101, Mean Accuracy(U) = 0.12690110433337976, Mean Accuracy(V) = 0.11460973257687589, Loss : 7.731260599714987
Epoch : 102, Mean Accuracy(U) = 0.1282356050522386, Mean Accuracy(V) = 0.11506713935893564, Loss : 7.722799210066206
Epoch : 103, Mean Accuracy(U) = 0.12904168109663583, Mean Accuracy(V) = 0.11477088518690004, Loss : 7.72160987103923
Epoch : 104, Mean Accuracy(U) = 0.12829925358346383, Mean Accuracy(V) = 0.11527490648647101, Loss : 7.725622493229555
Epoch : 105, Mean Accuracy(U) = 0.12912698476032392, Mean Accuracy(V) = 0.11369900956803655, Loss : 7.727779350923688
Epoch : 106, Mean Accuracy(U) = 0.12886868178048003, Mean Accuracy(V) = 0.11439526279141952, Loss : 7.725607116570633
Epoch : 107, Mean Accuracy(U) = 0.12926919994428598, Mean Accuracy(V) = 0.11453254895169411, Loss : 7.7323102468854925
Epoch : 108, Mean Accuracy(U) = 0.12835502127506074, Mean Accuracy(V) = 0.11502226921196532, Loss : 7.731623429930612
Epoch : 109, Mean Accuracy(U) = 0.126977323529043, Mean Accuracy(V) = 0.11430693351639204, Loss : 7.723009784569901
Epoch : 110, Mean Accuracy(U) = 0.12852217930372317, Mean Accuracy(V) = 0.1155246504724209, Loss : 7.7289482288146285
Epoch : 111, Mean Accuracy(U) = 0.1278775039745693, Mean Accuracy(V) = 0.11510888210780988, Loss : 7.725404455420676
Epoch : 112, Mean Accuracy(U) = 0.12668180858332703, Mean Accuracy(V) = 0.11463117395714985, Loss : 7.722255229949951
Epoch : 113, Mean Accuracy(U) = 0.12804141627803123, Mean Accuracy(V) = 0.11493847708161253, Loss : 7.7265615945451716
Epoch : 114, Mean Accuracy(U) = 0.12794423537218455, Mean Accuracy(V) = 0.11599418641886175, Loss : 7.726293344176217
Epoch : 115, Mean Accuracy(U) = 0.12774994353888622, Mean Accuracy(V) = 0.11497290009035409, Loss : 7.726277544257346
Epoch : 116, Mean Accuracy(U) = 0.12815768474540615, Mean Accuracy(V) = 0.11501678036111665, Loss : 7.726054084434938
Epoch : 117, Mean Accuracy(U) = 0.12738705466665406, Mean Accuracy(V) = 0.11472813602147, Loss : 7.727880708287271
Epoch : 118, Mean Accuracy(U) = 0.12883031580725526, Mean Accuracy(V) = 0.11468721011131727, Loss : 7.7217671951551115
Epoch : 119, Mean Accuracy(U) = 0.12753215423283082, Mean Accuracy(V) = 0.11477399731698251, Loss : 7.724588967441173
Epoch : 120, Mean Accuracy(U) = 0.12806122779786555, Mean Accuracy(V) = 0.11568289070887226, Loss : 7.729004099127952
Epoch : 121, Mean Accuracy(U) = 0.12781795363263093, Mean Accuracy(V) = 0.11471271787251675, Loss : 7.722817249512405
Epoch : 122, Mean Accuracy(U) = 0.12638471975988752, Mean Accuracy(V) = 0.11399851709927936, Loss : 7.725135722856843
Epoch : 123, Mean Accuracy(U) = 0.12731853818379527, Mean Accuracy(V) = 0.11464919530240275, Loss : 7.726658183537173
Epoch : 124, Mean Accuracy(U) = 0.12784451361442656, Mean Accuracy(V) = 0.11480104333054081, Loss : 7.730621675427041
Epoch : 125, Mean Accuracy(U) = 0.1267707969276034, Mean Accuracy(V) = 0.11485718127146481, Loss : 7.7319981060671
Epoch : 126, Mean Accuracy(U) = 0.12791012154071602, Mean Accuracy(V) = 0.11445446451371664, Loss : 7.72413377547532
Epoch : 127, Mean Accuracy(U) = 0.127771879857264, Mean Accuracy(V) = 0.11420576256968724, Loss : 7.719676494598389
Epoch : 128, Mean Accuracy(U) = 0.12819983336897228, Mean Accuracy(V) = 0.11447955494921416, Loss : 7.7268184811881415
Epoch : 129, Mean Accuracy(U) = 0.1275494249007539, Mean Accuracy(V) = 0.11440156084698304, Loss : 7.732689600312308
Epoch : 130, Mean Accuracy(U) = 0.12701752166388613, Mean Accuracy(V) = 0.11471426630355128, Loss : 7.730750978662726
Epoch : 131, Mean Accuracy(U) = 0.1269922352888822, Mean Accuracy(V) = 0.11475647345450243, Loss : 7.72213888168335
Epoch : 132, Mean Accuracy(U) = 0.1277054881729489, Mean Accuracy(V) = 0.11419963627927548, Loss : 7.727919701779826
Epoch : 133, Mean Accuracy(U) = 0.12801997108075386, Mean Accuracy(V) = 0.11458721989098887, Loss : 7.724790299876353
Epoch : 134, Mean Accuracy(U) = 0.1287083612771909, Mean Accuracy(V) = 0.1139705957196144, Loss : 7.729311760891689
Epoch : 135, Mean Accuracy(U) = 0.12903522527159966, Mean Accuracy(V) = 0.11466586161145856, Loss : 7.727235135067715
Epoch : 136, Mean Accuracy(U) = 0.1285553388843488, Mean Accuracy(V) = 0.11568310955039897, Loss : 7.728078729650948
Epoch : 137, Mean Accuracy(U) = 0.12750787554671705, Mean Accuracy(V) = 0.11394330160083699, Loss : 7.727429325660963
Epoch : 138, Mean Accuracy(U) = 0.12719146632454373, Mean Accuracy(V) = 0.11526181925424347, Loss : 7.728854656219482
Epoch : 139, Mean Accuracy(U) = 0.12935764500174918, Mean Accuracy(V) = 0.11506464940040273, Loss : 7.72062690606278
Epoch : 140, Mean Accuracy(U) = 0.12685549368775534, Mean Accuracy(V) = 0.11496621397278108, Loss : 7.734962340151326
Epoch : 141, Mean Accuracy(U) = 0.1275654461362399, Mean Accuracy(V) = 0.11437085814419458, Loss : 7.729904056934828
Epoch : 142, Mean Accuracy(U) = 0.12692892138161918, Mean Accuracy(V) = 0.11350568979826352, Loss : 7.727786417757527
Epoch : 143, Mean Accuracy(U) = 0.12813894962052272, Mean Accuracy(V) = 0.11517175960435408, Loss : 7.733244997731755
Epoch : 144, Mean Accuracy(U) = 0.12900323114933696, Mean Accuracy(V) = 0.11502550603082459, Loss : 7.723468041152097
